Iteración,Agente,Posición,Energía,Sed,Edad,Tiene Hambre,Tiene Sed,Ha Comido,Ha Bebido,Muerto,Causa de Muerte
1,0,"(3, 5)",11,15,1,False,False,False,False,False,
1,1,"(6, 7)",11,15,1,False,False,False,False,False,
1,2,"(6, 8)",9,15,1,False,False,False,False,False,
1,3,"(4, 1)",12,15,1,False,False,False,False,False,
1,4,"(0, 1)",7,15,1,True,False,False,False,False,
2,0,"(3, 6)",10,14,2,False,False,False,False,False,
2,1,"(7, 7)",10,14,2,False,False,False,False,False,
2,2,"(6, 8)",8,14,2,False,False,False,False,False,
2,3,"(4, 0)",11,14,2,False,False,False,False,False,
2,4,"(1, 2)",6,14,2,True,False,True,False,False,
3,0,"(3, 7)",9,13,3,False,False,False,False,False,
3,1,"(8, 7)",9,13,3,False,False,False,False,False,
3,2,"(6, 7)",7,13,3,True,False,False,False,False,
3,3,"(4, 1)",10,13,3,False,False,False,False,False,
3,4,"(2, 2)",10,13,3,False,False,True,False,False,
4,0,"(4, 7)",8,12,4,False,True,False,True,False,
4,1,"(7, 7)",8,12,4,False,True,False,True,False,
4,2,"(7, 8)",6,12,4,True,True,True,False,False,
4,3,"(4, 0)",9,12,4,False,True,False,True,False,
4,4,"(2, 3)",9,12,4,False,True,True,True,False,
5,0,"(4, 6)",7,21,5,True,False,True,True,False,
5,1,"(7, 6)",7,21,5,True,False,False,True,False,
5,2,"(8, 8)",10,11,5,False,True,True,True,False,
5,3,"(4, 1)",8,21,5,False,False,False,True,False,
5,4,"(3, 4)",8,21,5,False,False,True,True,False,
6,0,"(3, 6)",11,20,6,False,False,True,True,False,
6,1,"(8, 5)",6,20,6,True,False,True,True,False,
6,2,"(7, 7)",9,20,6,False,False,True,True,False,
6,3,"(5, 1)",7,20,6,True,False,False,True,False,
6,4,"(3, 3)",7,20,6,True,False,True,True,False,
7,0,"(3, 5)",10,19,7,False,False,True,True,False,
7,1,"(9, 4)",10,19,7,False,False,True,True,False,
7,2,"(7, 8)",8,19,7,False,False,True,True,False,
7,3,"(4, 2)",6,19,7,True,False,False,True,False,
7,4,"(3, 2)",11,19,7,False,False,True,True,False,
8,0,"(3, 6)",9,18,8,False,False,True,True,False,
8,1,"(9, 4)",9,18,8,False,False,True,True,False,
8,2,"(6, 8)",7,18,8,True,False,True,True,False,
8,3,"(5, 1)",5,18,8,True,False,True,True,False,
8,4,"(3, 1)",10,18,8,False,False,True,True,False,
9,0,"(3, 7)",8,17,9,False,False,True,True,False,
9,1,"(9, 4)",8,17,9,False,False,True,True,False,
9,2,"(5, 8)",6,17,9,True,False,True,True,False,
9,3,"(6, 0)",9,17,9,False,False,True,True,False,
9,4,"(3, 2)",9,17,9,False,False,True,True,False,
10,0,"(3, 8)",7,16,10,True,False,True,True,False,
10,1,"(9, 4)",7,16,10,True,False,True,True,False,
10,2,"(5, 9)",5,16,10,True,False,True,True,False,
10,3,"(6, 0)",8,16,10,False,False,True,True,False,
10,4,"(3, 3)",8,16,10,False,False,True,True,False,
11,0,"(2, 7)",6,15,11,True,False,True,True,False,
11,1,"(9, 4)",6,15,11,True,False,True,True,False,
11,2,"(6, 9)",4,15,11,True,False,True,True,False,
11,3,"(6, 1)",7,15,11,True,False,True,True,False,
11,4,"(2, 3)",7,15,11,True,False,True,True,False,
12,0,"(1, 7)",10,14,12,False,False,True,True,False,
12,1,"(8, 4)",5,14,12,True,False,True,True,False,
12,2,"(5, 9)",3,14,12,True,False,True,True,False,
12,3,"(6, 0)",6,14,12,True,False,True,True,False,
12,4,"(2, 2)",6,14,12,True,False,True,True,False,
13,0,"(2, 7)",9,13,13,False,False,True,True,False,
13,1,"(8, 4)",4,13,13,True,False,True,True,False,
13,2,"(5, 9)",2,13,13,True,False,True,True,False,
13,3,"(6, 0)",5,13,13,True,False,True,True,False,
13,4,"(2, 3)",5,13,13,True,False,True,True,False,
