Iteración,Agente,Posición,Energía,Sed,Edad,Tiene Hambre,Tiene Sed,Ha Comido,Ha Bebido,Muerto,Causa de Muerte
1,0,"(9, 7)",7,15,1,True,False,False,False,False,
1,1,"(5, 0)",12,15,1,False,False,False,False,False,
1,2,"(4, 6)",8,15,1,False,False,False,False,False,
1,3,"(9, 0)",8,15,1,False,False,False,False,False,
2,0,"(9, 8)",6,14,2,True,False,True,False,False,
2,1,"(5, 1)",11,14,2,False,False,False,False,False,
2,2,"(4, 7)",7,14,2,True,False,False,False,False,
2,3,"(9, 1)",7,14,2,True,False,False,False,False,
3,0,"(9, 9)",10,13,3,False,False,True,False,False,
3,1,"(4, 1)",10,13,3,False,False,False,False,False,
3,2,"(3, 8)",6,13,3,True,False,True,False,False,
3,3,"(8, 1)",6,13,3,True,False,False,False,False,
4,0,"(9, 9)",9,12,4,False,True,True,False,False,
4,1,"(3, 1)",9,12,4,False,True,False,False,False,
4,2,"(2, 8)",10,12,4,False,True,True,False,False,
4,3,"(7, 1)",5,12,4,True,True,True,False,False,
5,0,"(9, 8)",8,11,5,False,True,True,False,False,
5,1,"(3, 1)",8,11,5,False,True,False,False,False,
5,2,"(2, 8)",9,11,5,False,True,True,False,False,
5,3,"(8, 1)",9,11,5,False,True,True,True,False,
6,0,"(8, 8)",7,10,6,True,True,True,False,False,
6,1,"(3, 1)",7,10,6,True,True,False,False,False,
6,2,"(1, 8)",8,10,6,False,True,True,False,False,
6,3,"(7, 2)",8,20,6,False,False,True,True,False,
7,0,"(8, 9)",6,9,7,True,True,True,False,False,
7,1,"(2, 1)",6,9,7,True,True,False,False,False,
7,2,"(0, 8)",7,9,7,True,True,True,False,False,
7,3,"(7, 2)",7,19,7,True,False,True,True,False,
8,0,"(9, 9)",5,8,8,True,True,True,False,False,
8,1,"(1, 0)",5,8,8,True,True,True,False,False,
8,2,"(0, 8)",11,8,8,False,True,True,False,False,
8,3,"(6, 2)",6,18,8,True,False,True,True,False,
9,0,"(8, 9)",4,7,9,True,True,True,False,False,
9,1,"(0, 0)",9,7,9,False,True,True,False,False,
9,2,"(0, 8)",10,7,9,False,True,True,False,False,
9,3,"(6, 1)",5,17,9,True,False,True,True,False,
10,0,"(7, 9)",3,6,10,True,True,True,False,False,
10,1,"(0, 1)",8,6,10,False,True,True,False,False,
10,2,"(0, 9)",9,6,10,False,True,True,False,False,
10,3,"(6, 1)",4,16,10,True,False,True,True,False,
11,0,"(8, 9)",2,5,11,True,True,True,False,False,
11,1,"(0, 1)",7,5,11,True,True,True,False,False,
11,2,"(0, 8)",8,5,11,False,True,True,False,False,
11,3,"(5, 1)",3,15,11,True,False,True,True,False,
12,0,"(8, 9)",1,4,12,True,True,True,False,True,Energía
12,1,"(1, 1)",6,4,12,True,True,True,False,False,
12,2,"(0, 8)",7,4,12,True,True,True,False,False,
12,3,"(4, 2)",2,14,12,True,False,True,True,False,
13,0,,0,3,12,True,True,False,False,True,Energía
13,1,"(2, 2)",5,3,13,True,True,True,False,False,
13,2,"(1, 8)",6,3,13,True,True,True,False,False,
13,3,"(3, 3)",1,13,13,True,False,True,True,False,
14,0,,0,3,12,True,True,False,False,True,Energía
14,1,"(2, 3)",4,2,14,True,True,True,False,False,
14,2,"(2, 8)",10,2,14,False,True,True,False,False,
14,3,"(2, 4)",5,12,14,True,True,True,True,False,
15,0,,0,3,12,True,True,False,False,True,Energía
15,1,"(1, 4)",3,1,15,True,True,True,False,True,Sed
15,2,"(2, 7)",9,1,15,False,True,True,False,True,Sed
15,3,"(1, 5)",4,11,15,True,True,True,True,False,
16,0,,0,3,12,True,True,False,False,True,Energía
16,1,,7,0,15,True,True,False,False,True,Sed
16,2,,8,0,15,False,True,False,False,True,Sed
