Iteración,Agente,Posición,Energía,Sed,Edad,Tiene Hambre,Tiene Sed,Ha Comido,Ha Bebido,Muerto,Causa de Muerte
1,0,"(9, 7)",10,15,1,False,False,False,False,False,
1,1,"(3, 4)",8,15,1,False,False,False,False,False,
1,2,"(4, 5)",12,15,1,False,False,False,False,False,
1,3,"(5, 4)",10,15,1,False,False,False,False,False,
1,4,"(9, 0)",9,15,1,False,False,False,False,False,
2,0,"(8, 7)",9,14,2,False,False,False,False,False,
2,1,"(3, 3)",7,14,2,True,False,True,False,False,
2,2,"(4, 4)",11,14,2,False,False,False,False,False,
2,3,"(6, 4)",9,14,2,False,False,False,False,False,
2,4,"(9, 1)",8,14,2,False,False,False,False,False,
3,0,"(9, 7)",8,13,3,False,False,False,False,False,
3,1,"(4, 4)",11,13,3,False,False,True,False,False,
3,2,"(4, 5)",10,13,3,False,False,False,False,False,
3,3,"(5, 4)",8,13,3,False,False,False,False,False,
3,4,"(9, 1)",7,13,3,True,False,False,False,False,
4,0,"(9, 8)",7,12,4,True,True,False,False,False,
4,1,"(3, 4)",10,12,4,False,True,True,True,False,
4,2,"(4, 6)",9,12,4,False,True,False,True,False,
4,3,"(6, 4)",7,12,4,True,True,False,False,False,
4,4,"(9, 2)",6,12,4,True,True,True,False,False,
5,0,"(8, 8)",6,11,5,True,True,False,False,False,
5,1,"(3, 5)",9,21,5,False,False,True,True,False,
5,2,"(3, 7)",8,21,5,False,False,False,True,False,
5,3,"(6, 5)",6,11,5,True,True,False,True,False,
5,4,"(9, 3)",10,11,5,False,True,True,True,False,
6,0,"(8, 7)",5,10,6,True,True,False,False,False,
6,1,"(2, 5)",8,20,6,False,False,True,True,False,
6,2,"(4, 7)",7,20,6,True,False,False,True,False,
6,3,"(6, 4)",5,20,6,True,False,False,True,False,
6,4,"(8, 2)",9,20,6,False,False,True,True,False,
7,0,"(8, 6)",4,9,7,True,True,False,False,False,
7,1,"(2, 5)",7,19,7,True,False,True,True,False,
7,2,"(4, 7)",6,19,7,True,False,False,True,False,
7,3,"(6, 5)",4,19,7,True,False,False,True,False,
7,4,"(9, 2)",8,19,7,False,False,True,True,False,
8,0,"(8, 6)",3,8,8,True,True,False,False,False,
8,1,"(1, 5)",6,18,8,True,False,True,True,False,
8,2,"(4, 6)",5,18,8,True,False,False,True,False,
8,3,"(6, 4)",3,18,8,True,False,False,True,False,
8,4,"(9, 1)",7,18,8,True,False,True,True,False,
9,0,"(8, 7)",2,7,9,True,True,False,False,False,
9,1,"(1, 4)",5,17,9,True,False,True,True,False,
9,2,"(4, 6)",4,17,9,True,False,False,True,False,
9,3,"(5, 4)",2,17,9,True,False,False,True,False,
9,4,"(8, 1)",6,17,9,True,False,True,True,False,
10,0,"(9, 7)",1,6,10,True,True,False,False,True,Energía
10,1,"(1, 5)",4,16,10,True,False,True,True,False,
10,2,"(4, 7)",3,16,10,True,False,False,True,False,
10,3,"(5, 4)",1,16,10,True,False,False,True,True,Energía
10,4,"(8, 1)",5,16,10,True,False,True,True,False,
11,0,,0,5,-1,True,True,False,False,True,Energía
11,1,"(1, 6)",3,15,11,True,False,True,True,False,
11,2,"(5, 7)",2,15,11,True,False,False,True,False,
11,3,,0,15,-1,True,False,False,False,True,Energía
11,4,"(7, 1)",4,15,11,True,False,True,True,False,
12,0,,0,5,-1,True,True,False,False,True,Energía
12,1,"(1, 6)",2,14,12,True,False,True,True,False,
12,2,"(5, 7)",1,14,12,True,False,False,True,True,Energía
12,3,,0,15,-1,True,False,False,False,True,Energía
12,4,"(7, 0)",3,14,12,True,False,True,True,False,
13,0,,0,5,-1,True,True,False,False,True,Energía
13,1,"(0, 6)",1,13,13,True,False,True,True,True,Energía
13,2,,0,13,-1,True,False,False,False,True,Energía
13,3,,0,15,-1,True,False,False,False,True,Energía
13,4,"(7, 0)",2,13,13,True,False,True,True,False,
14,0,,0,5,-1,True,True,False,False,True,Energía
14,1,,0,12,-1,True,True,False,False,True,Energía
14,2,,0,13,-1,True,False,False,False,True,Energía
14,3,,0,15,-1,True,False,False,False,True,Energía
14,4,"(6, 0)",1,12,14,True,True,True,True,True,Energía
