Iteración,Agente,Posición,Energía,Sed,Edad,Tiene Hambre,Tiene Sed,Ha Comido,Ha Bebido,Muerto,Causa de Muerte
1,0,"(0, 5)",8,15,1,False,False,False,False,False,
1,1,"(3, 8)",10,15,1,False,False,False,False,False,
1,2,"(6, 2)",7,15,1,True,False,True,False,False,
1,3,"(9, 6)",8,15,1,False,False,False,False,False,
2,0,"(1, 5)",7,14,2,True,False,False,False,False,
2,1,"(3, 8)",9,14,2,False,False,False,False,False,
2,2,"(5, 2)",11,14,2,False,False,True,False,False,
2,3,"(9, 6)",7,14,2,True,False,False,False,False,
3,0,"(0, 6)",6,13,3,True,False,True,False,False,
3,1,"(2, 8)",8,13,3,False,False,False,False,False,
3,2,"(4, 2)",10,13,3,False,False,True,False,False,
3,3,"(9, 6)",6,13,3,True,False,False,False,False,
4,0,"(0, 7)",10,12,4,False,True,True,False,False,
4,1,"(1, 8)",7,12,4,True,True,False,False,False,
4,2,"(3, 2)",9,12,4,False,True,True,False,False,
4,3,"(9, 6)",5,12,4,True,True,False,False,False,
5,0,"(0, 6)",9,11,5,False,True,True,False,False,
5,1,"(1, 7)",6,11,5,True,True,False,False,False,
5,2,"(3, 1)",8,11,5,False,True,True,False,False,
5,3,"(9, 7)",4,11,5,True,True,False,False,False,
6,0,"(1, 6)",8,10,6,False,True,True,False,False,
6,1,"(0, 7)",5,10,6,True,True,False,False,False,
6,2,"(4, 1)",7,10,6,True,True,True,False,False,
6,3,"(9, 7)",3,10,6,True,True,False,True,False,
7,0,"(1, 5)",7,9,7,True,True,True,False,False,
7,1,"(0, 6)",4,9,7,True,True,False,False,False,
7,2,"(3, 2)",6,9,7,True,True,True,False,False,
7,3,"(8, 7)",2,19,7,True,False,False,True,False,
8,0,"(2, 4)",6,8,8,True,True,True,False,False,
8,1,"(0, 7)",3,8,8,True,True,False,False,False,
8,2,"(3, 3)",10,8,8,False,True,True,False,False,
8,3,"(7, 6)",1,18,8,True,False,True,True,False,
9,0,"(1, 3)",5,7,9,True,True,True,False,False,
9,1,"(0, 8)",2,7,9,True,True,False,False,False,
9,2,"(4, 3)",9,7,9,False,True,True,False,False,
9,3,"(6, 5)",5,17,9,True,False,True,True,False,
10,0,"(0, 2)",9,6,10,False,True,True,False,False,
10,1,"(0, 9)",1,6,10,True,True,False,False,True,Energía
10,2,"(4, 3)",8,6,10,False,True,True,False,False,
10,3,"(5, 6)",4,16,10,True,False,True,True,False,
11,0,"(1, 2)",8,5,11,False,True,True,False,False,
11,1,,0,5,10,True,True,False,False,True,Energía
11,2,"(5, 3)",7,5,11,True,True,True,False,False,
11,3,"(4, 7)",8,15,11,False,False,True,True,False,
12,0,"(2, 2)",7,4,12,True,True,True,False,False,
12,1,,0,5,10,True,True,False,False,True,Energía
12,2,"(5, 2)",6,4,12,True,True,True,False,False,
12,3,"(3, 7)",7,14,12,True,False,True,True,False,
13,0,"(2, 1)",6,3,13,True,True,True,False,False,
13,1,,0,5,10,True,True,False,False,True,Energía
13,2,"(5, 1)",10,3,13,False,True,True,False,False,
13,3,"(2, 7)",6,13,13,True,False,True,True,False,
14,0,"(1, 1)",5,2,14,True,True,True,False,False,
14,1,,0,5,10,True,True,False,False,True,Energía
14,2,"(5, 2)",9,2,14,False,True,True,False,False,
14,3,"(1, 7)",5,12,14,True,True,True,True,False,
15,0,"(2, 2)",4,1,15,True,True,True,False,True,Sed
15,1,,0,5,10,True,True,False,False,True,Energía
15,2,"(6, 3)",8,1,15,False,True,True,True,False,
15,3,"(1, 7)",9,11,15,False,True,True,True,False,
16,0,,8,0,15,False,True,False,False,True,Sed
16,1,,0,5,10,True,True,False,False,True,Energía
16,2,"(7, 4)",7,10,16,True,True,True,True,False,
16,3,"(0, 7)",8,10,16,False,True,True,True,False,
17,0,,8,0,15,False,True,False,False,True,Sed
17,1,,0,5,10,True,True,False,False,True,Energía
17,2,"(6, 4)",11,19,17,False,False,True,True,False,
17,3,"(0, 7)",7,9,17,True,True,True,True,False,
18,0,,8,0,15,False,True,False,False,True,Sed
18,1,,0,5,10,True,True,False,False,True,Energía
18,2,"(6, 5)",10,18,18,False,False,True,True,False,
18,3,"(0, 7)",6,8,18,True,True,True,True,False,
19,0,,8,0,15,False,True,False,False,True,Sed
19,1,,0,5,10,True,True,False,False,True,Energía
19,2,"(6, 4)",9,17,19,False,False,True,True,False,
19,3,"(0, 8)",5,7,19,True,True,True,True,False,
20,0,,8,0,15,False,True,False,False,True,Sed
20,1,,0,5,10,True,True,False,False,True,Energía
20,2,"(6, 4)",8,16,20,False,False,True,True,False,
20,3,"(0, 7)",4,6,20,True,True,True,True,False,
21,0,,8,0,15,False,True,False,False,True,Sed
21,1,,0,5,10,True,True,False,False,True,Energía
21,2,"(6, 5)",7,15,21,True,False,True,True,False,
21,3,"(0, 7)",3,5,21,True,True,True,True,False,
22,0,,8,0,15,False,True,False,False,True,Sed
22,1,,0,5,10,True,True,False,False,True,Energía
22,2,"(6, 4)",6,14,22,True,False,True,True,False,
22,3,"(0, 7)",2,4,22,True,True,True,True,False,
23,0,,8,0,15,False,True,False,False,True,Sed
23,1,,0,5,10,True,True,False,False,True,Energía
23,2,"(6, 3)",5,13,23,True,False,True,True,False,
23,3,"(0, 7)",1,3,23,True,True,True,True,True,Energía
24,0,,8,0,15,False,True,False,False,True,Sed
24,1,,0,5,10,True,True,False,False,True,Energía
24,2,"(7, 2)",4,12,24,True,True,True,True,False,
24,3,,0,2,23,True,True,False,False,True,Energía
25,0,,8,0,15,False,True,False,False,True,Sed
25,1,,0,5,10,True,True,False,False,True,Energía
25,2,"(7, 1)",8,11,25,False,True,True,True,False,
25,3,,0,2,23,True,True,False,False,True,Energía
26,0,,8,0,15,False,True,False,False,True,Sed
26,1,,0,5,10,True,True,False,False,True,Energía
26,2,"(7, 2)",7,10,26,True,True,True,True,False,
26,3,,0,2,23,True,True,False,False,True,Energía
27,0,,8,0,15,False,True,False,False,True,Sed
27,1,,0,5,10,True,True,False,False,True,Energía
27,2,"(7, 3)",6,19,27,True,False,True,True,False,
27,3,,0,2,23,True,True,False,False,True,Energía
28,0,,8,0,15,False,True,False,False,True,Sed
28,1,,0,5,10,True,True,False,False,True,Energía
28,2,"(8, 3)",5,18,28,True,False,True,True,False,
28,3,,0,2,23,True,True,False,False,True,Energía
29,0,,8,0,15,False,True,False,False,True,Sed
29,1,,0,5,10,True,True,False,False,True,Energía
29,2,"(9, 3)",4,17,29,True,False,True,True,False,
29,3,,0,2,23,True,True,False,False,True,Energía
30,0,,8,0,15,False,True,False,False,True,Sed
30,1,,0,5,10,True,True,False,False,True,Energía
30,2,"(9, 4)",3,16,30,True,False,True,True,False,
30,3,,0,2,23,True,True,False,False,True,Energía
31,0,,8,0,15,False,True,False,False,True,Sed
31,1,,0,5,10,True,True,False,False,True,Energía
31,2,"(9, 4)",2,15,31,True,False,True,True,False,
31,3,,0,2,23,True,True,False,False,True,Energía
32,0,,8,0,15,False,True,False,False,True,Sed
32,1,,0,5,10,True,True,False,False,True,Energía
32,2,"(9, 3)",1,14,32,True,False,True,True,True,Energía
32,3,,0,2,23,True,True,False,False,True,Energía
