Iteración,Agente,Posición,Energía,Sed,Edad,Tiene Hambre,Tiene Sed,Ha Comido,Ha Bebido,Muerto,Causa de Muerte
1,0,"(3, 6)",10,15,1,False,False,False,False,False,
1,1,"(9, 5)",12,15,1,False,False,False,False,False,
1,2,"(3, 9)",12,15,1,False,False,False,False,False,
1,3,"(1, 4)",8,15,1,False,False,False,False,False,
1,4,"(3, 8)",11,15,1,False,False,False,False,False,
2,0,"(4, 6)",9,14,2,False,False,False,False,False,
2,1,"(9, 5)",11,14,2,False,False,False,False,False,
2,2,"(2, 9)",11,14,2,False,False,False,False,False,
2,3,"(1, 5)",7,14,2,True,False,True,False,False,
2,4,"(3, 9)",10,14,2,False,False,False,False,False,
3,0,"(4, 6)",8,13,3,False,False,False,False,False,
3,1,"(9, 5)",10,13,3,False,False,False,False,False,
3,2,"(3, 9)",10,13,3,False,False,False,False,False,
3,3,"(1, 6)",11,13,3,False,False,True,False,False,
3,4,"(3, 8)",9,13,3,False,False,False,False,False,
4,0,"(4, 5)",7,12,4,True,True,False,False,False,
4,1,"(9, 5)",9,12,4,False,True,False,True,False,
4,2,"(2, 9)",9,12,4,False,True,False,False,False,
4,3,"(1, 5)",10,12,4,False,True,True,False,False,
4,4,"(3, 8)",8,12,4,False,True,False,False,False,
5,0,"(4, 4)",6,11,5,True,True,True,True,False,
5,1,"(8, 6)",8,21,5,False,False,False,True,False,
5,2,"(2, 8)",8,11,5,False,True,False,False,False,
5,3,"(1, 5)",9,11,5,False,True,True,False,False,
5,4,"(4, 8)",7,11,5,True,True,True,False,False,
6,0,"(4, 3)",10,20,6,False,False,True,True,False,
6,1,"(9, 6)",7,20,6,True,False,False,True,False,
6,2,"(2, 7)",7,10,6,True,True,False,False,False,
6,3,"(0, 5)",8,10,6,False,True,True,False,False,
6,4,"(4, 9)",11,10,6,False,True,True,False,False,
7,0,"(4, 2)",9,19,7,False,False,True,True,False,
7,1,"(8, 7)",6,19,7,True,False,True,True,False,
7,2,"(1, 8)",6,9,7,True,True,True,False,False,
7,3,"(0, 5)",7,9,7,True,True,True,False,False,
7,4,"(4, 8)",10,9,7,False,True,True,False,False,
8,0,"(4, 2)",8,18,8,False,False,True,True,False,
8,1,"(8, 8)",10,18,8,False,False,True,True,False,
8,2,"(0, 8)",10,8,8,False,True,True,False,False,
8,3,"(0, 4)",6,8,8,True,True,True,False,False,
8,4,"(3, 8)",9,8,8,False,True,True,False,False,
9,0,"(4, 1)",7,17,9,True,False,True,True,False,
9,1,"(9, 8)",9,17,9,False,False,True,True,False,
